step,temperature,beta,gamma_base,gamma_pulse,gamma
351,0.95690894,1.0450315,0.8249124,0.0,0.8249124
352,0.95632863,1.0456656,0.8244122,0.0,0.8244122
353,0.95574844,1.0463004,0.82391196,0.0,0.82391196
354,0.9551681,1.0469362,0.8234117,0.0,0.8234117
355,0.9545879,1.0475725,0.82291144,0.0,0.82291144
356,0.9540076,1.0482097,0.8224112,0.0,0.8224112
357,0.9534274,1.0488476,0.821911,0.0,0.821911
358,0.9528471,1.0494863,0.8214107,0.0,0.8214107
359,0.9522668,1.0501258,0.82091045,0.0,0.82091045
360,0.95168656,1.0507661,0.8204102,0.0,0.8204102
361,0.9511063,1.0514072,0.81990993,0.0,0.81990993
362,0.95052606,1.052049,0.8194097,0.0,0.8194097
363,0.9499458,1.0526916,0.81890947,0.0,0.81890947
364,0.94936556,1.0533351,0.8184092,0.0,0.8184092
365,0.9487853,1.0539793,0.81790894,0.0,0.81790894
366,0.948205,1.0546243,0.8174087,0.0,0.8174087
367,0.94762474,1.0552701,0.8169085,0.0,0.8169085
368,0.9470445,1.0559165,0.8164082,0.0,0.8164082
369,0.94646424,1.056564,0.81590796,0.0,0.81590796
370,0.945884,1.0572121,0.8154077,0.0,0.8154077
371,0.94530374,1.0578611,0.81490743,0.0,0.81490743
372,0.9447235,1.0585108,0.8144072,0.0,0.8144072
373,0.9441432,1.0591614,0.81390697,0.0,0.81390697
374,0.9435629,1.0598128,0.8134067,0.0,0.8134067
375,0.9429827,1.0604649,0.81290644,0.0,0.81290644
376,0.9424024,1.0611178,0.8124062,0.0,0.8124062
377,0.9418222,1.0617715,0.811906,0.0,0.811906
378,0.9412419,1.0624261,0.8114057,0.0,0.8114057
379,0.94066167,1.0630815,0.81090546,0.0,0.81090546
380,0.94008136,1.0637378,0.8104052,0.0,0.8104052
381,0.9395011,1.0643947,0.80990493,0.0,0.80990493
382,0.93892086,1.0650525,0.80940473,0.0,0.80940473
383,0.9383406,1.0657111,0.8089044,0.0,0.8089044
384,0.93776035,1.0663705,0.8084042,0.0,0.8084042
385,0.93718004,1.0670308,0.80790395,0.0,0.80790395
386,0.93659985,1.0676918,0.8074037,0.0,0.8074037
387,0.93601954,1.0683538,0.8069035,0.0,0.8069035
388,0.9354393,1.0690165,0.80640316,0.0,0.80640316
389,0.93485904,1.06968,0.80590296,0.0,0.80590296
390,0.9342788,1.0703443,0.8054027,0.0,0.8054027
391,0.93369853,1.0710095,0.80490243,0.0,0.80490243
392,0.9331182,1.0716755,0.8044022,0.0,0.8044022
393,0.93253803,1.0723423,0.8039019,0.0,0.8039019
394,0.9319577,1.0730101,0.8034017,0.0,0.8034017
395,0.9313775,1.0736785,0.80290145,0.0,0.80290145
396,0.9307972,1.0743479,0.8024012,0.0,0.8024012
397,0.93021697,1.075018,0.8019009,0.0,0.8019009
398,0.9296367,1.075689,0.80140066,0.0,0.80140066
399,0.9290564,1.076361,0.80090046,0.0,0.80090046
400,0.9284762,1.0770335,0.8004002,0.0,0.8004002
401,0.9278959,1.077707,0.79989994,0.0,0.79989994
402,0.92731565,1.0783814,0.7993997,0.0,0.7993997
403,0.9267354,1.0790566,0.7988994,0.0,0.7988994
404,0.92615515,1.0797327,0.7983992,0.0,0.7983992
405,0.9255749,1.0804096,0.79789895,0.0,0.79789895
406,0.9249946,1.0810874,0.7973987,0.0,0.7973987
407,0.92441434,1.081766,0.7968984,0.0,0.7968984
408,0.9238341,1.0824455,0.79639816,0.0,0.79639816
409,0.92325383,1.0831257,0.79589796,0.0,0.79589796
410,0.9226736,1.0838069,0.7953977,0.0,0.7953977
411,0.92209333,1.0844889,0.79489744,0.0,0.79489744
412,0.9215131,1.0851718,0.7943972,0.0,0.7943972
413,0.92093277,1.0858556,0.7938969,0.0,0.7938969
414,0.9203525,1.0865402,0.7933967,0.0,0.7933967
415,0.91977227,1.0872257,0.79289645,0.0,0.79289645
416,0.919192,1.087912,0.7923962,0.0,0.7923962
417,0.91861176,1.0885992,0.7918959,0.0,0.7918959
418,0.9180315,1.0892873,0.79139566,0.0,0.79139566
419,0.91745126,1.0899762,0.79089546,0.0,0.79089546
420,0.91687095,1.090666,0.7903952,0.0,0.7903952
421,0.9162907,1.0913568,0.78989494,0.0,0.78989494
422,0.91571045,1.0920483,0.7893947,0.0,0.7893947
423,0.9151302,1.0927407,0.7888944,0.0,0.7888944
424,0.91454995,1.093434,0.7883942,0.0,0.7883942
425,0.9139697,1.0941281,0.78789395,0.0,0.78789395
426,0.91338944,1.0948232,0.7873937,0.0,0.7873937
